airport_code,airport_name,city,coordinates,timezone
YKS,"Yakutsk Airport",Yakutsk,"(129.77099609375,62.093299865722656)",Asia/Yakutsk
MJZ,"Mirny Airport",Mirnyj,"(114.03900146484375,62.534698486328125)",Asia/Yakutsk
KHV,"Khabarovsk-Novy Airport",Khabarovsk,"(135.18800354004,48.52799987793)",Asia/Vladivostok
PKC,"Yelizovo Airport",Petropavlovsk,"(158.45399475097656,53.16790008544922)",Asia/Kamchatka
UUS,"Yuzhno-Sakhalinsk Airport",Yuzhno-Sakhalinsk,"(142.71800231933594,46.88869857788086)",Asia/Sakhalin
VVO,"Vladivostok International Airport",Vladivostok,"(132.1479949951172,43.39899826049805)",Asia/Vladivostok
LED,"Pulkovo Airport","St. Petersburg","(30.262500762939453,59.80030059814453)",Europe/Moscow
KGD,"Khrabrovo Airport",Kaliningrad,"(20.592599868774414,54.88999938964844)",Europe/Kaliningrad
KEJ,"Kemerovo Airport",Kemorovo,"(86.1072006225586,55.27009963989258)",Asia/Novokuznetsk
CEK,"Chelyabinsk Balandino Airport",Chelyabinsk,"(61.5033,55.305801)",Asia/Yekaterinburg
MQF,"Magnitogorsk International Airport",Magnetiogorsk,"(58.755699157714844,53.39310073852539)",Asia/Yekaterinburg
PEE,"Bolshoye Savino Airport",Perm,"(56.021198272705,57.914501190186)",Asia/Yekaterinburg
SGC,"Surgut Airport",Surgut,"(73.40180206298828,61.34370040893555)",Asia/Yekaterinburg
BZK,"Bryansk Airport",Bryansk,"(34.176399231,53.214199066199996)",Europe/Moscow
MRV,"Mineralnyye Vody Airport","Mineralnye Vody","(43.08190155029297,44.225101470947266)",Europe/Moscow
STW,"Stavropol Shpakovskoye Airport",Stavropol,"(42.11280059814453,45.10919952392578)",Europe/Moscow
ASF,"Astrakhan Airport",Astrakhan,"(48.0063018799,46.2832984924)",Europe/Samara
NJC,"Nizhnevartovsk Airport",Nizhnevartovsk,"(76.48359680175781,60.94929885864258)",Asia/Yekaterinburg
SVX,"Koltsovo Airport",Yekaterinburg,"(60.802700042725,56.743099212646)",Asia/Yekaterinburg
SVO,"Sheremetyevo International Airport",Moscow,"(37.4146,55.972599)",Europe/Moscow
VOZ,"Voronezh International Airport",Voronezh,"(39.22959899902344,51.81420135498047)",Europe/Moscow
VKO,"Vnukovo International Airport",Moscow,"(37.2615013123,55.5914993286)",Europe/Moscow
SCW,"Syktyvkar Airport",Syktyvkar,"(50.84510040283203,61.64699935913086)",Europe/Moscow
KUF,"Kurumoch International Airport",Samara,"(50.16429901123,53.504901885986)",Europe/Samara
DME,"Domodedovo International Airport",Moscow,"(37.90629959106445,55.40879821777344)",Europe/Moscow
TJM,"Roshchino International Airport",Tyumen,"(65.3243026733,57.189601898199996)",Asia/Yekaterinburg
GOJ,"Nizhny Novgorod Strigino International Airport","Nizhniy Novgorod","(43.784000396729,56.230098724365)",Europe/Moscow
TOF,"Bogashevo Airport",Tomsk,"(85.208297729492,56.380298614502)",Asia/Krasnoyarsk
UIK,"Ust-Ilimsk Airport","Ust Ilimsk","(102.56500244140625,58.13610076904297)",Asia/Irkutsk
NSK,"Norilsk-Alykel Airport",Norilsk,"(87.33219909667969,69.31109619140625)",Asia/Krasnoyarsk
ARH,"Talagi Airport",Arkhangelsk,"(40.71670150756836,64.60030364990234)",Europe/Moscow
RTW,"Saratov Central Airport",Saratov,"(46.04669952392578,51.564998626708984)",Europe/Volgograd
NUX,"Novy Urengoy Airport","Novy Urengoy","(76.52030181884766,66.06939697265625)",Asia/Yekaterinburg
NOJ,"Noyabrsk Airport",Noyabrsk,"(75.2699966430664,63.18330001831055)",Asia/Yekaterinburg
UCT,"Ukhta Airport",Ukhta,"(53.8046989440918,63.566898345947266)",Europe/Moscow
USK,"Usinsk Airport",Usinsk,"(57.3671989440918,66.00469970703125)",Europe/Moscow
NNM,"Naryan Mar Airport",Naryan-Mar,"(53.12189865112305,67.63999938964844)",Europe/Moscow
PKV,"Pskov Airport",Pskov,"(28.395599365234375,57.78390121459961)",Europe/Moscow
KGP,"Kogalym International Airport",Kogalym,"(74.53379821777344,62.190399169921875)",Asia/Yekaterinburg
KJA,"Yemelyanovo Airport",Krasnoyarsk,"(92.493301391602,56.172901153564)",Asia/Krasnoyarsk
URJ,"Uray Airport",Uraj,"(64.82669830322266,60.10329818725586)",Asia/Yekaterinburg
IWA,"Ivanovo South Airport",Ivanovo,"(40.940799713134766,56.93939971923828)",Europe/Moscow
PYJ,"Polyarny Airport",Yakutia,"(112.029998779,66.4003982544)",Asia/Yakutsk
KXK,"Komsomolsk-on-Amur Airport",Komsomolsk-on-Amur,"(136.9340057373047,50.409000396728516)",Asia/Vladivostok
DYR,"Ugolny Airport",Anadyr,"(177.74099731445312,64.73490142822266)",Asia/Anadyr
PES,"Petrozavodsk Airport",Petrozavodsk,"(34.154701232910156,61.88520050048828)",Europe/Moscow
KYZ,"Kyzyl Airport",Kyzyl,"(94.40059661865234,51.66939926147461)",Asia/Krasnoyarsk
NOZ,"Spichenkovo Airport",Novokuznetsk,"(86.877197265625,53.8114013671875)",Asia/Novokuznetsk
GRV,"Khankala Air Base",Grozny,"(45.78409957885742,43.298099517822266)",Europe/Moscow
NAL,"Nalchik Airport",Nalchik,"(43.636600494384766,43.512901306152344)",Europe/Moscow
OGZ,"Beslan Airport",Beslan,"(44.6066017151,43.2051010132)",Europe/Moscow
ESL,"Elista Airport",Elista,"(44.33089828491211,46.3739013671875)",Europe/Moscow
SLY,"Salekhard Airport",Salekhard,"(66.61100006103516,66.5907974243164)",Asia/Yekaterinburg
HMA,"Khanty Mansiysk Airport",Khanty-Mansiysk,"(69.08609771728516,61.028499603271484)",Asia/Yekaterinburg
NYA,"Nyagan Airport",Nyagan,"(65.61499786376953,62.11000061035156)",Asia/Yekaterinburg
OVS,"Sovetskiy Airport",Sovetskiy,"(63.60191345214844,61.326622009277344)",Asia/Yekaterinburg
IJK,"Izhevsk Airport",Izhevsk,"(53.45750045776367,56.82809829711914)",Europe/Samara
KVX,"Pobedilovo Airport",Kirov,"(49.348300933838,58.503299713135)",Europe/Moscow
NYM,"Nadym Airport",Nadym,"(72.69889831542969,65.48090362548828)",Asia/Yekaterinburg
NFG,"Nefteyugansk Airport",Nefteyugansk,"(72.6500015258789,61.108299255371094)",Asia/Yekaterinburg
KRO,"Kurgan Airport",Kurgan,"(65.41560363769531,55.47529983520508)",Asia/Yekaterinburg
EGO,"Belgorod International Airport",Belgorod,"(36.5900993347168,50.643798828125)",Europe/Moscow
URS,"Kursk East Airport",Kursk,"(36.29560089111328,51.7505989074707)",Europe/Moscow
LPK,"Lipetsk Airport",Lipetsk,"(39.53779983520508,52.70280075073242)",Europe/Moscow
VKT,"Vorkuta Airport",Vorkuta,"(63.993099212646484,67.48860168457031)",Europe/Moscow
UUA,"Bugulma Airport",Bugulma,"(52.801700592041016,54.63999938964844)",Europe/Moscow
JOK,"Yoshkar-Ola Airport",Yoshkar-Ola,"(47.904701232910156,56.700599670410156)",Europe/Moscow
CSY,"Cheboksary Airport",Cheboksary,"(47.3473014831543,56.090301513671875)",Europe/Moscow
ULY,"Ulyanovsk East Airport",Ulyanovsk,"(48.80270004272461,54.4010009765625)",Europe/Samara
OSW,"Orsk Airport",Orsk,"(58.59560012817383,51.0724983215332)",Asia/Yekaterinburg
PEZ,"Penza Airport",Penza,"(45.02109909057617,53.110599517822266)",Europe/Moscow
SKX,"Saransk Airport",Saransk,"(45.212257385253906,54.12512969970703)",Europe/Moscow
TBW,"Donskoye Airport",Tambow,"(41.482799530029,52.806098937988)",Europe/Moscow
UKX,"Ust-Kut Airport",Ust-Kut,"(105.7300033569336,56.8567008972168)",Asia/Irkutsk
GDZ,"Gelendzhik Airport",Gelendzhik,"(38.0124807358,44.5820926295)",Europe/Moscow
IAR,"Tunoshna Airport",Yaroslavl,"(40.15739822387695,57.560699462890625)",Europe/Moscow
NBC,"Begishevo Airport",Nizhnekamsk,"(52.092498779296875,55.564701080322266)",Europe/Moscow
ULV,"Ulyanovsk Baratayevka Airport",Ulyanovsk,"(48.226699829100006,54.26829910279999)",Europe/Samara
SWT,"Strezhevoy Airport",Strezhevoy,"(77.66000366210001,60.709400177)",Asia/Krasnoyarsk
EYK,"Beloyarskiy Airport",Beloyarsky,"(66.698600769,63.686901092499994)",Asia/Yekaterinburg
KLF,"Grabtsevo Airport",Kaluga,"(36.3666687012,54.5499992371)",Europe/Moscow
RGK,"Gorno-Altaysk Airport",Gorno-Altaysk,"(85.8332977295,51.9667015076)",Asia/Krasnoyarsk
KRR,"Krasnodar Pashkovsky International Airport",Krasnodar,"(39.170501708984,45.034698486328)",Europe/Moscow
MCX,"Uytash Airport",Makhachkala,"(47.65230178833008,42.81679916381836)",Europe/Moscow
KZN,"Kazan International Airport",Kazan,"(49.278701782227,55.606201171875)",Europe/Moscow
REN,"Orenburg Central Airport",Orenburg,"(55.45669937133789,51.795799255371094)",Asia/Yekaterinburg
UFA,"Ufa International Airport",Ufa,"(55.874401092529,54.557498931885)",Asia/Yekaterinburg
OVB,"Tolmachevo Airport",Novosibirsk,"(82.650703430176,55.012599945068)",Asia/Novosibirsk
CEE,"Cherepovets Airport",Cherepovets,"(38.015800476100004,59.273601532)",Europe/Moscow
OMS,"Omsk Central Airport",Omsk,"(73.31050109863281,54.96699905395508)",Asia/Omsk
ROV,"Rostov-on-Don Airport",Rostov,"(39.8180999756,47.2582015991)",Europe/Moscow
AER,"Sochi International Airport",Sochi,"(39.956600189209,43.449901580811)",Europe/Moscow
VOG,"Volgograd International Airport",Volgograd,"(44.34550094604492,48.782501220703125)",Europe/Volgograd
BQS,"Ignatyevo Airport",Blagoveschensk,"(127.41200256347656,50.42539978027344)",Asia/Yakutsk
GDX,"Sokol Airport",Magadan,"(150.72000122070312,59.9109992980957)",Asia/Magadan
HTA,"Chita-Kadala Airport",Chita,"(113.306,52.026299)",Asia/Chita
BTK,"Bratsk Airport",Bratsk,"(101.697998046875,56.370601654052734)",Asia/Irkutsk
IKT,"Irkutsk Airport",Irkutsk,"(104.38899993896,52.268001556396)",Asia/Irkutsk
UUD,"Ulan-Ude Airport (Mukhino)",Ulan-ude,"(107.43800354003906,51.80780029296875)",Asia/Irkutsk
MMK,"Murmansk Airport",Murmansk,"(32.75080108642578,68.78170013427734)",Europe/Moscow
ABA,"Abakan Airport",Abakan,"(91.38500213623047,53.7400016784668)",Asia/Krasnoyarsk
BAX,"Barnaul Airport",Barnaul,"(83.53849792480469,53.363800048828125)",Asia/Krasnoyarsk
AAQ,"Anapa Vityazevo Airport",Anapa,"(37.347301483154,45.002101898193)",Europe/Moscow
CNN,"Chulman Airport",Neryungri,"(124.91400146484,56.913898468018)",Asia/Yakutsk
